 AL ,	155275
 AR ,	84097
 AZ ,	218507
 CA ,	810625
 CO ,	70536
 CT ,	57577
 DE ,	20910
 FL ,	699150
 GA ,	318045
 HI ,	12891
 IA ,	88830
 ID ,	42048
 IL ,	295763
 IN ,	120019
 KS ,	59750
 KY ,	68840
 LA ,	167577
 MA ,	140531
 MD ,	125510
 ME ,	5435
 MI ,	138014
 MN ,	99141
 MO ,	126243
 MS ,	98886
 MT ,	13395
 NC ,	212476
 ND ,	22253
 NE ,	45564
 NH ,	8266
 NJ ,	205306
 NM ,	29435
 NV ,	80120
 NY ,	225035
 OH ,	153987
 OK ,	94585
 OR ,	33802
 PA ,	158967
 RI ,	24898
 SC ,	147942
 SD ,	22389
 TN ,	196139
 TX ,	748967
 UT ,	73042
 VA ,	148721
 VT ,	1767
 WA ,	88152
 WI ,	129123
 WV ,	15848
 WY ,	6057
